RS & Bulan,Total Data,Terjaring Audit,% Terjaring
3201230 - Cibinong - April,19348,846,4.37%
3201230 - Cibinong - Februari,16810,722,4.30%
3201230 - Cibinong - Maret,16465,706,4.29%
3216163 - Cikarang - April,14628,429,2.93%
3216163 - Cikarang - Februari,1962,44,2.24%
3216163 - Cikarang - Maret,11839,320,2.70%
3276017 - Cisalak - April,13486,378,2.80%
3276017 - Cisalak - Februari,12355,362,2.93%
3276017 - Cisalak - Maret,11442,363,3.17%
3209144 - Gempol - April,3990,94,2.36%
3209144 - Gempol - Februari,3640,102,2.80%
3209144 - Gempol - Maret,3504,58,1.66%
7106020 - MINUT - April,16268,87,0.53%
7106020 - MINUT - Februari,15330,30,0.20%
7106020 - MINUT - Maret,15779,39,0.25%
3172553 - RSHB - April,14837,145,0.98%
3172553 - RSHB - Februari,13543,129,0.95%
3172553 - RSHB - Maret,12286,125,1.02%
