kel_layanan,kel_icd,No DC,Nama DC,kode icd,deskripsi icd/Nama Penyakit,RS kompetensi
Kelompok Layanan Jantung & Pembuluh darah,icd 9,15261,Other Circulatory Procedures,21.09,Control of epistaxis by other means,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 9,10111,Trach w Mech Vent Support 96+ Hr w LOS 21+ days,31.29,Other permanent tracheostomy,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 9,15261,Other Circulatory Procedures,83.49,Other excision of soft tissue,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 9,15272,Gangrene w Wound Debridement,86.22,"Excisional debridement of wound, infection, or burn",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 9,11741,Ischemic Stroke w Thrombolytic,99.10,Injection or infusion of thrombolytic agent,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 9,15611,Acute MI w Thrombolitic Injection,99.20,Injection or infusion of platelet inhibitor,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15761,Other Circulatory System Diagnosis,A39.5,Meningococcal heart disease,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15761,Other Circulatory System Diagnosis,A52.0,Cardiovascular syphilis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15761,Other Circulatory System Diagnosis,B33.2,Viral carditis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15761,Other Circulatory System Diagnosis,B57.0,Acute chagas' disease with heart involvement,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15761,Other Circulatory System Diagnosis,B57.2,Chagas' disease (chronic) with heart involvement,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,C38.0,"Malignant neoplasm, heart",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,D18.0,"Haemangioma, any site",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,D18.07,"Haemangioma, multiple sites (IM)",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,D18.08,"Haemangioma, other sites (IM)",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15273,Other Circulatory Wound Debridement,D18.09,"Haemangioma, unspecified (IM)",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15272,Gangrene w Wound Debridement,E10.5,Insulin-dependent diabetes mellitus with peripheral circulatory complications,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15272,Gangrene w Wound Debridement,E11.5,Non-insulin-dependent diabetes mellitus with peripheral circulatory complications,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15272,Gangrene w Wound Debridement,E12.5,Malnutrition-related diabetes mellitus with peripheral circulatory complications,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15272,Gangrene w Wound Debridement,E13.5,Other specified diabetes mellitus with peripheral circulatory complications,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15272,Gangrene w Wound Debridement,E14.5,Unspecified diabetes mellitus with peripheral circulatory complications,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I01.0,Acute rheumatic pericarditis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I01.1,Acute rheumatic endocarditis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I01.2,Acute rheumatic myocarditis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I01.8,Other acute rheumatic heart disease,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I01.9,"Acute rheumatic heart disease, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I02.0,Rheumatic chorea with heart involvement,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15761,Other Circulatory System Diagnosis,I02.9,Rheumatic chorea without heart involvement,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I05.0,Mitral stenosis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I05.1,Rheumatic mitral insufficiency,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I05.2,Mitral stenosis with insufficiency,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I05.8,Other mitral valve diseases,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I05.9,"Mitral valve disease, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I06.0,Rheumatic aortic stenosis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I06.1,Rheumatic aortic insufficiency,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I06.2,Rheumatic aortic stenosis with insufficiency,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I06.8,Other rheumatic aortic valve diseases,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I06.9,"Rheumatic aortic valve disease, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I07.0,Tricuspid stenosis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I07.1,Tricuspid insufficiency,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I07.2,Tricuspid stenosis with insufficiency,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I07.8,Other tricuspid valve diseases,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I07.9,"Tricuspid valve disease, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I08.0,Disorders of both mitral and aortic valves,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I08.1,Disorders of both mitral and tricuspid valves,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I08.2,Disorders of both aortic and tricuspid valves,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I08.3,"Combined disorders of mitral, aortic and tricuspid valves",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I08.8,Other multiple valve diseases,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I08.9,"Multiple valve disease, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I09.0,Rheumatic myocarditis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I09.1,"Rheumatic diseases of endocardium, valve unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15761,Other Circulatory System Diagnosis,I09.2,Chronic rheumatic pericarditis,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,10021,Heart-Lung Transplant,I09.8,Other specified rheumatic heart diseases,Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15761,Other Circulatory System Diagnosis,I09.9,"Rheumatic heart disease, unspecified",Dasar
Kelompok Layanan Jantung & Pembuluh darah,icd 10,15681,Hypertension,I10,Essential (primary) hypertension,Dasar
